category_code,normalized_name,logo_width,logo_height,country_code,city,investment_rounds,invested_companies,milestones,relationships,funding_total_usd,acquired_at,logo_ratio,name_length
software,plateau systems,200,57,USA,Arlington,0,0,2,10,0,2011-04-26,3.508771929824561,15
software,ofis coop,0,0,NA,NA,0,0,0,0,0,2005-02-06,NaN,9
NA,rapisecure,0,0,NA,NA,0,0,0,0,0,2010-03-11,NaN,10
software,allegient systems,202,40,USA,Wilton,0,0,0,2,0,2011-03-30,5.05,17
mobile,onavo,112,80,USA,Palo Alto,0,0,2,11,13000000,2013-10-14,1.4,5
web,realholidays com au,258,50,AUS,RICHMOND VIC,0,0,0,0,0,2011-04-14,5.16,19
biotech,novamed pharmaceuticals,361,47,CHN,Shanghai,0,0,1,1,0,2011-04-19,7.680851063829787,23
enterprise,iona technologies,80,60,IRL,Dublin,0,0,1,10,0,2008-06-25,1.3333333333333333,17
web,clickz,300,81,USA,New York,0,0,0,2,0,2005-08-01,3.7037037037037037,6
software,sightspeed,188,43,USA,Berkeley,0,0,3,7,0,2008-11-01,4.372093023255814,10
NA,harris interactive,140,54,USA,New York,0,0,2,5,0,2013-11-25,2.5925925925925926,18
NA,brightwell technology,364,104,CAN,"Ottawa, Ontario",0,0,0,0,0,2011-05-12,3.5,21
travel,tripit,200,108,USA,San Francisco,0,0,5,14,13100000,2011-01-13,1.8518518518518519,6
enterprise,goinstant,283,60,CAN,Halifax,0,0,3,20,1700000,2012-07-09,4.716666666666667,9
mobile,wifislam,0,0,USA,Palo Alto,0,0,2,1,0,2013-03-24,NaN,8
NA,pra international,146,103,USA,Raleigh,0,0,1,9,0,2013-06-24,1.4174757281553398,17
finance,mint,194,80,USA,Mountain View,0,0,2,17,31775000,2009-09-01,2.425,4
security,cryptography research,233,58,USA,San Francisco,0,0,0,0,0,2011-06-06,4.017241379310345,21
news,pulse,2620,1167,USA,San Francisco,0,0,2,23,9800000,2013-04-13,2.2450728363324766,5
web,postini,183,75,USA,San Carlos,0,0,0,16,0,2007-07-09,2.44,7
games_video,pump audio,200,127,USA,Hudson Valley,0,0,4,7,2500000,2007-06-01,1.5748031496062993,10
hardware,sound solutions,0,0,NA,NA,0,0,0,0,0,2011-07-05,NaN,15
biotech,sophion bioscience,191,100,DNK,Ballerup,0,0,0,0,0,2011-07-06,1.91,18
NA,edhance,270,71,USA,Cambridge,0,0,1,4,0,2011-05-15,3.8028169014084505,7
software,zoomix,177,62,GBR,London,0,0,1,8,0,2008-07-14,2.8548387096774195,6
web,auctomatic,237,44,USA,San Francisco,0,0,0,7,400000,2008-04-01,5.386363636363637,10
NA,saber,0,0,NA,NA,0,0,1,2,0,2007-11-01,NaN,5
ecommerce,booking,368,139,NLD,Amsterdam,0,0,1,1,0,2005-07-01,2.647482014388489,7
advertising,aggregate knowledge,377,238,USA,San Mateo,0,0,0,21,74311925,2013-10-31,1.584033613445378,19
NA,digitap,0,0,NA,NA,0,0,0,0,0,2011-04-04,NaN,7
search,bna,204,70,USA,Bethesda,0,0,1,1,0,2011-08-25,2.914285714285714,3
NA,buka,159,85,RUS,Moscow,0,0,0,0,0,2008-07-18,1.8705882352941177,4
software,qumu,147,45,USA,San Bruno,0,0,1,5,24750000,2011-10-10,3.2666666666666666,4
software,springsource,214,73,USA,San Mateo,0,0,2,18,25000000,2009-08-10,2.9315068493150687,12
web,hunch,145,56,USA,New York,0,0,3,17,19200000,2011-11-21,2.5892857142857144,5
mobile,axismobile,315,84,ISR,Tel-Aviv,0,0,1,4,3000000,2008-08-18,3.75,10
mobile,axis,119,72,IDN,"Jl. Mega Kuningan Barat Kav. E4.3 No. 2, Jakarta",0,0,2,10,0,2013-09-26,1.6527777777777777,4
enterprise,zimbra,300,94,USA,Palo Alto,0,0,3,19,14500000,2013-07-15,3.1914893617021276,6
